topic,precision,recall,F1
101,0.347826,1.000000,1.043478
102,0.628141,1.000000,1.884422
103,0.765625,1.000000,2.296875
104,0.912371,1.000000,2.737113
105,0.891892,1.000000,2.675676
106,0.977273,1.000000,2.931818
107,0.704918,1.000000,2.114754
108,0.792453,1.000000,2.377358
109,0.975000,1.000000,2.925000
110,0.824176,1.000000,2.472527
111,0.269231,1.000000,0.807692
112,0.543860,1.000000,1.631579
113,0.941176,1.000000,2.823529
114,0.640000,1.000000,1.920000
115,0.565217,1.000000,1.695652
116,0.695652,1.000000,2.086957
117,0.846154,1.000000,2.538462
118,0.593750,1.000000,1.781250
119,1.000000,1.000000,3.000000
120,1.000000,1.000000,3.000000
121,0.962963,1.000000,2.888889
122,0.328571,1.000000,0.985714
123,0.980392,1.000000,2.941176
124,0.878788,1.000000,2.636364
125,0.500000,1.000000,1.500000
126,1.000000,1.000000,3.000000
127,0.500000,1.000000,1.500000
128,0.921569,1.000000,2.764706
129,0.805556,1.000000,2.416667
130,0.541667,1.000000,1.625000
131,0.709677,1.000000,2.129032
132,0.310680,1.000000,0.932039
133,0.914894,1.000000,2.744681
134,0.935484,1.000000,2.806452
135,0.827586,1.000000,2.482759
136,0.673913,1.000000,2.021739
137,0.520000,1.000000,1.560000
138,1.000000,1.000000,3.000000
139,0.619048,1.000000,1.857143
140,0.864407,1.000000,2.593220
141,0.857143,1.000000,2.571429
142,0.678571,1.000000,2.035714
143,0.769231,1.000000,2.307692
144,0.760000,1.000000,2.280000
145,0.968421,1.000000,2.905263
146,0.312500,1.000000,0.937500
147,0.838710,1.000000,2.516129
148,0.636364,1.000000,1.909091
149,0.692308,1.000000,2.076923
150,0.294118,1.000000,0.882353
